订单 ID,订单日期,发货日期,产品名称,类别,子类别,客户名称,细分,国家,地区,城市,省/自治区,邮寄方式,销售额,利润,折扣,数量
US-2016-5364655,2016/7/12,2016/7/18,"摩托罗拉 耳机, 全尺寸",技术,电话,王嘉丽,公司,中国,华东,淮阴,江苏,标准级,454,-121,40%,2
CN-2016-3969050,2016/7/13,2016/7/17,"Accos 橡皮筋, 整包",办公用品,系固件,邹丽雪,小型企业,中国,华东,蒙阴,山东,标准级,234,28,0%,3
CN-2016-3969050,2016/7/13,2016/7/17,"Stockwell 夹子, 每包 12 个",办公用品,系固件,邹丽雪,小型企业,中国,华东,蒙阴,山东,标准级,174,49,0%,2
US-2016-5956361,2016/7/13,2016/7/17,"Eldon 盘, 蓝色",办公用品,收纳具,郝廉,消费者,中国,中南,漯河,河南,标准级,672,53,0%,3
CN-2016-3969050,2016/7/13,2016/7/17,"Harbour Creations 扶手椅, 每套两件",家具,椅子,邹丽雪,小型企业,中国,华东,蒙阴,山东,标准级,"4,441",844,0%,2
US-2016-5956361,2016/7/13,2016/7/17,"Rubvermaid 框架, 优质",家具,用具,郝廉,消费者,中国,中南,漯河,河南,标准级,"1,519",91,0%,3
US-2016-5956361,2016/7/13,2016/7/17,"Brother 墨水, 数字化",技术,复印机,郝廉,消费者,中国,中南,漯河,河南,标准级,"2,743","1,234",0%,4
US-2016-5956361,2016/7/13,2016/7/17,"Enermax 键区, 可编程",技术,配件,郝廉,消费者,中国,中南,漯河,河南,标准级,549,274,0%,2
US-2016-5956361,2016/7/13,2016/7/17,"Memorex 闪存驱动器, 实惠",技术,配件,郝廉,消费者,中国,中南,漯河,河南,标准级,412,70,0%,3
US-2016-5279873,2016/7/15,2016/7/17,"Breville 冰箱, 黑色",办公用品,器具,程聪,消费者,中国,西南,江油,四川,二级,"13,073","-5,012",40%,9
CN-2016-2960006,2016/7/15,2016/7/21,"SanDisk 信纸, 多色",办公用品,纸张,柳明,小型企业,中国,中南,禹州,河南,标准级,698,188,0%,3
CN-2016-3476344,2016/7/16,2016/7/20,"Ibico 打孔机, 透明",办公用品,装订机,葛毅,消费者,中国,华东,合肥,安徽,标准级,698,237,0%,5
US-2016-2560726,2016/7/17,2016/7/19,"Barricks 电脑桌, 长方形",家具,桌子,毛保,公司,中国,东北,大连,辽宁,二级,"6,212","-1,708",60%,7
US-2016-2560726,2016/7/17,2016/7/19,"惠普 传真机, 每套两件",技术,复印机,毛保,公司,中国,东北,大连,辽宁,二级,"1,680",-504,40%,2
US-2016-2560726,2016/7/17,2016/7/19,"思科 信号增强器, 整包",技术,电话,毛保,公司,中国,东北,大连,辽宁,二级,851,-496,40%,2
US-2016-2560726,2016/7/17,2016/7/19,"StarTech 收据打印机, 红色",技术,设备,毛保,公司,中国,东北,大连,辽宁,二级,905,-513,40%,3
CN-2016-5747151,2016/7/17,2016/7/21,"Stiletto 剪刀, 钢",办公用品,用品,戴虎,消费者,中国,华北,天津,天津,标准级,"1,074",161,0%,10
CN-2016-5747151,2016/7/17,2016/7/21,"施乐 备忘录便条, 优质",办公用品,纸张,戴虎,消费者,中国,华北,天津,天津,标准级,379,151,0%,6
CN-2016-5747151,2016/7/17,2016/7/21,"Cardinal 标签, 实惠",办公用品,装订机,戴虎,消费者,中国,华北,天津,天津,标准级,102,26,0%,3
US-2016-5703090,2016/7/17,2016/7/21,"Rubvermaid 门挡, 优质",家具,用具,孙梦,公司,中国,华东,嘉善,浙江,标准级,238,-67,40%,2
CN-2016-5747151,2016/7/17,2016/7/21,"SanDisk 键盘, 可编程",技术,配件,戴虎,消费者,中国,华北,天津,天津,标准级,774,0,0%,2
CN-2016-4451680,2016/7/17,2016/7/22,"Sauder 墙角架, 金属",家具,书架,邱升,小型企业,中国,西南,昆明,云南,标准级,"4,109",40,0%,6
CN-2016-5235171,2016/7/18,2016/7/18,"Hoover 搅拌机, 黑色",办公用品,器具,陶惠,小型企业,中国,华东,贵溪,江西,当日,"1,352",487,0%,3
US-2016-2447332,2016/7/18,2016/7/22,"Novimex 可去除的标签, 白色",办公用品,标签,徐菊,消费者,中国,西北,石嘴山,宁夏,标准级,322,135,0%,7
CN-2016-1086295,2016/7/18,2016/7/23,"惠普 个人复印机, 数字化",技术,复印机,贺宁,消费者,中国,中南,长沙,湖南,二级,"1,157",439,0%,2
CN-2016-1086295,2016/7/18,2016/7/23,"贝尔金 路由器, 耐用",技术,配件,贺宁,消费者,中国,中南,长沙,湖南,二级,"2,417","1,015",0%,2
CN-2016-3245528,2016/7/18,2016/7/24,"OIC 按钉, 每包 12 个",办公用品,系固件,武廷,消费者,中国,中南,平顶山,河南,标准级,268,5,0%,4
CN-2016-3245528,2016/7/18,2016/7/24,"罗技 鼠标, 实惠",技术,配件,武廷,消费者,中国,中南,平顶山,河南,标准级,410,119,0%,3
CN-2016-4680664,2016/7/18,2016/7/25,"Sanford 荧光笔, 整包",办公用品,美术,麦虹,公司,中国,华东,东村,山东,标准级,299,108,0%,4
CN-2016-4680664,2016/7/18,2016/7/25,"Dania 搁架, 白色",家具,书架,麦虹,公司,中国,华东,东村,山东,标准级,"4,812","1,443",0%,6
CN-2016-4680664,2016/7/18,2016/7/25,"Novimex 摇椅, 红色",家具,椅子,麦虹,公司,中国,华东,东村,山东,标准级,"2,453",736,0%,4
CN-2016-4680664,2016/7/18,2016/7/25,"Advantus 分层置放架, 优质",家具,用具,麦虹,公司,中国,华东,东村,山东,标准级,700,343,0%,6
CN-2016-4680664,2016/7/18,2016/7/25,"Advantus 分层置放架, 耐用",家具,用具,麦虹,公司,中国,华东,东村,山东,标准级,218,67,0%,2
US-2016-2556865,2016/7/19,2016/7/23,"Fellowes 搁板, 蓝色",办公用品,收纳具,武欢,小型企业,中国,华东,苏州,江苏,标准级,"1,620",437,0%,6
US-2016-2556865,2016/7/19,2016/7/23,"Fellowes 锁柜, 金属",办公用品,收纳具,武欢,小型企业,中国,华东,苏州,江苏,标准级,"1,926",19,0%,2
US-2016-2556865,2016/7/19,2016/7/23,"OIC 夹子, 金属",办公用品,系固件,武欢,小型企业,中国,华东,苏州,江苏,标准级,278,-102,40%,5
CN-2016-3230180,2016/7/19,2016/7/23,"Eldon 锁柜, 单宽度",办公用品,收纳具,陶聪,消费者,中国,西南,开远,云南,标准级,"1,847",868,0%,2
US-2016-2556865,2016/7/19,2016/7/23,"诺基亚 耳机, 混合尺寸",技术,电话,武欢,小型企业,中国,华东,苏州,江苏,标准级,425,-121,40%,2
CN-2016-5910958,2016/7/22,2016/7/25,"Acco 装订机, 透明",办公用品,装订机,殷保,消费者,中国,东北,哈尔滨,黑龙江,二级,341,0,0%,5
CN-2016-5910958,2016/7/22,2016/7/25,"夏普 无线传真机, 红色",技术,复印机,殷保,消费者,中国,东北,哈尔滨,黑龙江,二级,"3,305",991,0%,2
CN-2016-5910958,2016/7/22,2016/7/25,"StarTech 喷墨打印机, 白色",技术,设备,殷保,消费者,中国,东北,哈尔滨,黑龙江,二级,"5,603","1,345",0%,4
CN-2016-4992845,2016/7/22,2016/7/26,"GlobeWeis 商业信封, 每套 50 个",办公用品,信封,贺升,消费者,中国,华东,无锡,江苏,标准级,486,175,0%,6
US-2016-4505574,2016/7/22,2016/7/28,"Binney & Smith 速写本, 蓝色",办公用品,美术,余德,小型企业,中国,中南,株洲,湖南,标准级,519,188,20%,3
US-2016-4505574,2016/7/22,2016/7/28,"Dania 柜, 金属",家具,书架,余德,小型企业,中国,中南,株洲,湖南,标准级,"5,918",709,0%,9
CN-2016-3476099,2016/7/22,2016/7/29,"Avery 打孔机, 耐用",办公用品,装订机,贺鹏,小型企业,中国,中南,高州,广东,标准级,685,13,0%,5
CN-2016-3476099,2016/7/22,2016/7/29,"Cardinal 打孔机, 透明",办公用品,装订机,贺鹏,小型企业,中国,中南,高州,广东,标准级,659,204,0%,5
CN-2016-3476099,2016/7/22,2016/7/29,"SanDisk 键区, 实惠",技术,配件,贺鹏,小型企业,中国,中南,高州,广东,标准级,258,98,0%,1
CN-2016-5717181,2016/7/23,2016/7/25,"Cardinal 打孔机, 回收",办公用品,装订机,马凤,消费者,中国,华东,平邑,山东,二级,272,54,0%,2
CN-2016-5717181,2016/7/23,2016/7/25,"惠普 无线传真机, 每套两件",技术,复印机,马凤,消费者,中国,华东,平邑,山东,二级,"5,043","1,765",0%,3
CN-2016-1376899,2016/7/23,2016/7/27,"Hamilton Beach 冰箱, 白色",办公用品,器具,谭珊,消费者,中国,中南,来宾,广西,标准级,"9,301","2,046",0%,4
CN-2016-3189070,2016/7/23,2016/7/27,"Wilson Jones 标签, 透明",办公用品,装订机,常崆,消费者,中国,华北,北京,北京,标准级,83,9,0%,3
CN-2016-3189070,2016/7/23,2016/7/27,"Deflect-O 相框, 一包多件",家具,用具,常崆,消费者,中国,华北,北京,北京,标准级,727,58,0%,3
CN-2016-4750815,2016/7/23,2016/7/28,"Acco 装订机, 耐用",办公用品,装订机,林谙,小型企业,中国,中南,开封,河南,标准级,389,112,0%,5
CN-2016-1638210,2016/7/24,2016/7/27,"Deflect-O 灯泡, 一包多件",家具,用具,谷莲,公司,中国,西北,西宁,青海,一级,356,138,0%,4
CN-2016-2222921,2016/7/24,2016/7/29,"Jiffy 外皮和封条, 回收",办公用品,信封,林德伟,公司,中国,中南,深圳,广东,标准级,702,69,0%,8
CN-2016-2222921,2016/7/24,2016/7/29,"Hamilton Beach 咖啡研磨机, 红色",办公用品,器具,林德伟,公司,中国,中南,深圳,广东,标准级,995,179,0%,5
CN-2016-2222921,2016/7/24,2016/7/29,"Elite 剪刀, 锯齿状",办公用品,用品,林德伟,公司,中国,中南,深圳,广东,标准级,718,179,0%,8
CN-2016-2222921,2016/7/24,2016/7/29,"施乐 信纸, 优质",办公用品,纸张,林德伟,公司,中国,中南,深圳,广东,标准级,"1,049",461,0%,5
CN-2016-2222921,2016/7/24,2016/7/29,"BIC 铅笔刀, 金属",办公用品,美术,林德伟,公司,中国,中南,深圳,广东,标准级,113,-21,20%,1
CN-2016-4888622,2016/7/24,2016/7/29,"思科 智能手机, 混合尺寸",技术,电话,罗君,消费者,中国,中南,麻城,湖北,标准级,"1,187",79,40%,3
CN-2016-1156969,2016/7/25,2016/7/27,"Sanford 铅笔刀, 整包",办公用品,美术,孔辉,公司,中国,华东,潍坊,山东,二级,122,30,0%,1
CN-2016-4141331,2016/7/25,2016/7/29,"Wilson Jones 装订机, 耐用",办公用品,装订机,殷崆,消费者,中国,中南,常德,湖南,标准级,203,0,0%,3
US-2016-3381572,2016/7/25,2016/7/29,"摩托罗拉 耳机, 全尺寸",技术,电话,邹实,公司,中国,中南,梧州,广西,标准级,378,91,0%,1
CN-2016-4141331,2016/7/25,2016/7/29,"诺基亚 耳机, 全尺寸",技术,电话,殷崆,消费者,中国,中南,常德,湖南,标准级,"1,042",260,0%,3
CN-2016-5552260,2016/7/26,2016/7/26,"Eldon 框架, 优质",家具,用具,曾康,消费者,中国,西南,绵阳,四川,当日,"1,930",193,40%,6
US-2016-4150614,2016/7/26,2016/7/28,"BIC 铅笔刀, 金属",办公用品,美术,薛芳,公司,中国,华东,苏州,江苏,二级,85,-318,80%,3
CN-2016-1597520,2016/7/26,2016/7/30,"Fellowes 锁柜, 工业",办公用品,收纳具,邵伟,公司,中国,西北,西安,陕西,标准级,"5,819","2,792",0%,6
CN-2016-4674220,2016/7/26,2016/7/30,"Acme 尺子, 锯齿状",办公用品,用品,陶惠,消费者,中国,华东,温州,浙江,标准级,150,-5,40%,4
CN-2016-1597520,2016/7/26,2016/7/30,"Enermax 闪存驱动器, 实惠",技术,配件,邵伟,公司,中国,西北,西安,陕西,标准级,581,250,0%,3
CN-2016-3455141,2016/7/26,2016/7/31,"Hon 圆形标签, 白色",办公用品,标签,巩虢,公司,中国,东北,呼兰,黑龙江,二级,218,8,0%,7
CN-2016-3455141,2016/7/26,2016/7/31,"SAFCO 凳子, 可调",家具,椅子,巩虢,公司,中国,东北,呼兰,黑龙江,二级,"1,591",414,0%,2
US-2016-3857264,2016/7/26,2016/8/1,"Breville 炉灶, 黑色",办公用品,器具,武杰,小型企业,中国,华东,淮阴,江苏,标准级,"9,424","-2,043",40%,6
CN-2016-5586841,2016/7/27,2016/7/31,"Enermax 计划信息表, 回收",办公用品,纸张,黄婷,消费者,中国,华东,新泰,山东,标准级,837,360,0%,8
CN-2016-1123287,2016/7/27,2016/8/2,"Kraft 邮寄品, 每套 50 个",办公用品,信封,黄丽,消费者,中国,东北,本溪,辽宁,标准级,176,16,0%,1
CN-2016-1123287,2016/7/27,2016/8/2,"Stockwell 回形针, 混合尺寸",办公用品,系固件,黄丽,消费者,中国,东北,本溪,辽宁,标准级,32,0,40%,1
CN-2016-1141510,2016/7/27,2016/8/2,"摩托罗拉 信号增强器, 整包",技术,电话,钱婵娟,公司,中国,西北,西安,陕西,标准级,"2,005",301,0%,3
CN-2016-1123287,2016/7/27,2016/8/2,"Memorex 键区, 可编程",技术,配件,黄丽,消费者,中国,东北,本溪,辽宁,标准级,131,-7,40%,1
CN-2016-5252007,2016/7/29,2016/8/2,"Eldon 盒, 工业",办公用品,收纳具,陈昌,消费者,中国,中南,珠海,广东,标准级,301,57,0%,6
CN-2016-5835982,2016/7/29,2016/8/3,"贝尔金 鼠标, 回收",技术,配件,彭伟,小型企业,中国,华东,上海,上海,标准级,180,83,0%,1
CN-2016-2581069,2016/7/30,2016/8/1,"思科 耳机, 整包",技术,电话,涂安,公司,中国,华东,邳州,江苏,一级,248,-50,40%,1
CN-2016-2605699,2016/7/30,2016/8/2,"Avery 圆形标签, 白色",办公用品,标签,邱芯,消费者,中国,华北,赤峰,内蒙古,二级,67,18,0%,2
CN-2016-2883758,2016/7/30,2016/8/3,"Deflect-O 分层置放架, 黑色",家具,用具,郝涛,公司,中国,中南,韶关,广东,标准级,118,45,0%,1
CN-2016-5679752,2016/7/30,2016/8/3,"Office Star 凳子, 可调",家具,椅子,施奇,消费者,中国,东北,辽阳,辽宁,标准级,"1,482",-321,40%,3
CN-2016-3964185,2016/7/30,2016/8/5,"SAFCO 扶手椅, 每套两件",家具,椅子,薛梦,消费者,中国,中南,河源,广东,标准级,"7,790","3,202",10%,4
CN-2016-3964185,2016/7/30,2016/8/5,"Tenex 门挡, 一包多件",家具,用具,薛梦,消费者,中国,中南,河源,广东,标准级,"1,026",349,0%,5
CN-2016-5300830,2016/7/31,2016/8/4,"宜家 书库, 传统",家具,书架,贺婵,消费者,中国,华东,济南,山东,标准级,"5,087","2,137",0%,3
CN-2016-5943918,2016/7/31,2016/8/6,"OIC 回形针, 混合尺寸",办公用品,系固件,何虢,小型企业,中国,华北,呼和浩特,内蒙古,标准级,100,-64,40%,3
CN-2016-2303851,2016/7/31,2016/8/6,"Tenex 锁柜, 金属",办公用品,收纳具,韦立,消费者,中国,华东,泉州,福建,标准级,"3,793","1,897",0%,4
CN-2016-1424056,2016/8/1,2016/8/5,"三星 信号增强器, 整包",技术,电话,洪毅,公司,中国,华东,烟台,山东,二级,"1,276",25,0%,2
CN-2016-3706710,2016/8/1,2016/8/6,"Avery 文件夹标签, 可调",办公用品,标签,熊丽,公司,中国,华北,唐山,河北,标准级,66,33,0%,2
CN-2016-1951831,2016/8/2,2016/8/4,"Harbour Creations 文件夹标签, 可调",办公用品,标签,施良,消费者,中国,东北,沈阳,辽宁,二级,93,13,0%,3
CN-2016-1951831,2016/8/2,2016/8/4,"Smead 圆形标签, 红色",办公用品,标签,施良,消费者,中国,东北,沈阳,辽宁,二级,63,31,0%,2
CN-2016-2042105,2016/8/2,2016/8/4,"Fellowes 锁柜, 工业",办公用品,收纳具,曹鹏,消费者,中国,华东,上海,上海,二级,"6,788","3,258",0%,7
CN-2016-5250870,2016/8/2,2016/8/5,"惠普 传真复印机, 数字化",技术,复印机,余丽娜,消费者,中国,西北,西安,陕西,二级,"4,831","1,739",0%,6
CN-2016-4596452,2016/8/2,2016/8/6,"Avery 装订机, 耐用",办公用品,装订机,施良,消费者,中国,东北,扶余,吉林,标准级,202,68,0%,3
CN-2016-4596452,2016/8/2,2016/8/6,"Hewlett 墨水, 彩色",技术,复印机,施良,消费者,中国,东北,扶余,吉林,标准级,701,84,0%,1
CN-2016-1715632,2016/8/2,2016/8/6,"贝尔金 键区, 可编程",技术,配件,贺绅,消费者,中国,华东,明水,山东,标准级,553,177,0%,2
US-2016-2560123,2016/8/2,2016/8/7,"Tenex 分层置放架, 黑色",家具,用具,牛黎明,公司,中国,中南,武汉,湖北,二级,495,-157,40%,7
US-2016-2877300,2016/8/3,2016/8/4,"Stockwell 图钉, 每包 12 个",办公用品,系固件,彭雯,消费者,中国,东北,榆树,吉林,一级,528,227,0%,9
CN-2016-4843371,2016/8/3,2016/8/8,"Kraft 外皮和封条, 每套 50 个",办公用品,信封,邹伟,消费者,中国,东北,九台,吉林,二级,574,0,0%,6
CN-2016-4843371,2016/8/3,2016/8/8,"Fiskars 尺子, 蓝色",办公用品,用品,邹伟,消费者,中国,东北,九台,吉林,二级,606,35,0%,9
CN-2016-4843371,2016/8/3,2016/8/8,"宜家 搁架, 黑色",家具,书架,邹伟,消费者,中国,东北,九台,吉林,二级,"3,205","1,282",0%,4
CN-2016-4843371,2016/8/3,2016/8/8,"Deflect-O 门挡, 一包多件",家具,用具,邹伟,消费者,中国,东北,九台,吉林,二级,"1,027",267,0%,5
CN-2016-4843371,2016/8/3,2016/8/8,"Brother 传真复印机, 数字化",技术,复印机,邹伟,消费者,中国,东北,九台,吉林,二级,892,80,0%,1
CN-2016-4843371,2016/8/3,2016/8/8,"佳能 无线传真机, 数字化",技术,复印机,邹伟,消费者,中国,东北,九台,吉林,二级,"7,062",494,0%,4
CN-2016-4843371,2016/8/3,2016/8/8,"冲电器 喷墨打印机, 红色",技术,设备,邹伟,消费者,中国,东北,九台,吉林,二级,"4,358","1,569",0%,3
CN-2016-1424056,2016/8/3,2016/8/9,"Smead 盒, 金属",办公用品,收纳具,顾丹,公司,中国,华北,包头,内蒙古,标准级,138,30,0%,3
CN-2016-1424056,2016/8/3,2016/8/9,"Novimex 凳子, 红色",家具,椅子,顾丹,公司,中国,华北,包头,内蒙古,标准级,921,-491,40%,2
CN-2016-1424056,2016/8/3,2016/8/9,"爱普生 卡片打印机, 耐用",技术,设备,顾丹,公司,中国,华北,包头,内蒙古,标准级,952,-286,40%,2
US-2016-5779998,2016/8/5,2016/8/7,"Binney & Smith 画布, 混合尺寸",办公用品,美术,余毅,公司,中国,东北,让胡路,黑龙江,二级,"1,018",-229,20%,5
US-2016-5779998,2016/8/5,2016/8/7,"Stanley 荧光笔, 整包",办公用品,美术,余毅,公司,中国,东北,让胡路,黑龙江,二级,782,-149,20%,14
CN-2016-2995973,2016/8/5,2016/8/7,"Acco 标签, 耐用",办公用品,装订机,陈健,公司,中国,华东,潍坊,山东,二级,188,49,0%,4
CN-2016-2995973,2016/8/5,2016/8/7,"Avery 标签, 实惠",办公用品,装订机,陈健,公司,中国,华东,潍坊,山东,二级,148,74,0%,5
CN-2016-3984376,2016/8/5,2016/8/7,"Acco 孔加固材料, 透明",办公用品,装订机,陈莲,公司,中国,华北,北京,北京,二级,86,38,0%,3
CN-2016-2995973,2016/8/5,2016/8/7,"Enermax 鼠标, 可编程",技术,配件,陈健,公司,中国,华东,潍坊,山东,二级,390,23,0%,2
US-2016-1031662,2016/8/5,2016/8/9,"Breville 微波炉, 银色",办公用品,器具,顾君,公司,中国,中南,石龙,广东,标准级,"4,234",296,0%,3
US-2016-1031662,2016/8/5,2016/8/9,"Tenex 搁板, 单宽度",办公用品,收纳具,顾君,公司,中国,中南,石龙,广东,标准级,"1,276",319,0%,5
US-2016-1031662,2016/8/5,2016/8/9,"Advantus 图钉, 整包",办公用品,系固件,顾君,公司,中国,中南,石龙,广东,标准级,127,29,0%,2
US-2016-1031662,2016/8/5,2016/8/9,"Tenex 分层置放架, 耐用",家具,用具,顾君,公司,中国,中南,石龙,广东,标准级,623,112,0%,6
US-2016-1031662,2016/8/5,2016/8/9,"夏普 个人复印机, 数字化",技术,复印机,顾君,公司,中国,中南,石龙,广东,标准级,"1,675",251,0%,3
US-2016-1031662,2016/8/5,2016/8/9,"罗技 记忆卡, 耐用",技术,配件,顾君,公司,中国,中南,石龙,广东,标准级,"2,417","1,184",0%,5
CN-2016-4978724,2016/8/5,2016/8/10,"Breville 烤面包机, 银色",办公用品,器具,邹实,公司,中国,华东,临清,山东,标准级,"1,446",289,0%,4
CN-2016-1150523,2016/8/6,2016/8/10,"Stockwell 夹子, 混合尺寸",办公用品,系固件,常惠英,消费者,中国,中南,梧州,广西,标准级,152,68,0%,2
CN-2016-1150523,2016/8/6,2016/8/10,"Binney & Smith 铅笔刀, 蓝色",办公用品,美术,常惠英,消费者,中国,中南,梧州,广西,标准级,299,78,20%,3
CN-2016-1150523,2016/8/6,2016/8/10,"Tenex 闹钟, 一包多件",家具,用具,常惠英,消费者,中国,中南,梧州,广西,标准级,939,150,0%,4
CN-2016-2998954,2016/8/6,2016/8/11,"Avery 运输标签, 耐用",办公用品,标签,曾辉,消费者,中国,华北,唐山,河北,标准级,228,50,0%,4
CN-2016-2998954,2016/8/6,2016/8/11,"宜家 柜, 黑色",家具,书架,曾辉,消费者,中国,华北,唐山,河北,标准级,"1,342",617,0%,2
CN-2016-2998954,2016/8/6,2016/8/11,"Office Star 沙滩椅, 可调",家具,椅子,曾辉,消费者,中国,华北,唐山,河北,标准级,541,124,0%,2
CN-2016-3867173,2016/8/6,2016/8/12,"KitchenAid 冰箱, 红色",办公用品,器具,廖珊,小型企业,中国,华北,包头,内蒙古,标准级,"5,913","-1,577",40%,4
CN-2016-3867173,2016/8/6,2016/8/12,"Smead 盒, 单宽度",办公用品,收纳具,廖珊,小型企业,中国,华北,包头,内蒙古,标准级,454,199,0%,9
CN-2016-3867173,2016/8/6,2016/8/12,"Novimex 文件夹标签, 红色",办公用品,标签,廖珊,小型企业,中国,华北,包头,内蒙古,标准级,38,16,0%,1
CN-2016-3867173,2016/8/6,2016/8/12,"Fiskars 修剪器, 蓝色",办公用品,用品,廖珊,小型企业,中国,华北,包头,内蒙古,标准级,355,53,40%,3
CN-2016-3867173,2016/8/6,2016/8/12,"Ibico 标签, 透明",办公用品,装订机,廖珊,小型企业,中国,华北,包头,内蒙古,标准级,47,-21,40%,2
CN-2016-5910958,2016/8/6,2016/8/12,"Hoover 咖啡研磨机, 黑色",办公用品,器具,雷菊,消费者,中国,中南,珠海,广东,标准级,637,185,0%,2
CN-2016-5278891,2016/8/7,2016/8/8,"Hon 有色标签, 白色",办公用品,标签,殷宣,消费者,中国,华东,苏州,江苏,一级,239,78,0%,4
CN-2016-5278891,2016/8/7,2016/8/8,"Office Star 扶手椅, 黑色",家具,椅子,殷宣,消费者,中国,华东,苏州,江苏,一级,"3,906","-2,604",40%,3
CN-2016-2477297,2016/8/7,2016/8/9,"Smead 盘, 工业",办公用品,收纳具,雷菊,消费者,中国,东北,鞍山,辽宁,二级,914,310,0%,4
CN-2016-2477297,2016/8/7,2016/8/9,"Stockwell 订书钉, 整包",办公用品,系固件,雷菊,消费者,中国,东北,鞍山,辽宁,二级,91,12,40%,3
CN-2016-2477297,2016/8/7,2016/8/9,"罗技 键盘, 实惠",技术,配件,雷菊,消费者,中国,东北,鞍山,辽宁,二级,609,-163,40%,3
CN-2016-5112322,2016/8/7,2016/8/10,"Hoover 微波炉, 银色",办公用品,器具,金诚,消费者,中国,华东,济宁,山东,一级,"4,331",520,0%,3
CN-2016-5112322,2016/8/7,2016/8/10,"Smead 盒, 工业",办公用品,收纳具,金诚,消费者,中国,华东,济宁,山东,一级,210,65,0%,4
CN-2016-5112322,2016/8/7,2016/8/10,"Sauder 古典书架, 白色",家具,书架,金诚,消费者,中国,华东,济宁,山东,一级,"10,232","1,842",0%,5
CN-2016-5112322,2016/8/7,2016/8/10,"Hon 椅垫, 黑色",家具,椅子,金诚,消费者,中国,华东,济宁,山东,一级,991,158,0%,4
US-2016-1308033,2016/8/7,2016/8/11,"Eldon 灯泡, 优质",家具,用具,夏彩,消费者,中国,中南,广州,广东,标准级,778,109,0%,7
CN-2016-2877606,2016/8/7,2016/8/12,"Tenex 锁柜, 工业",办公用品,收纳具,洪华,公司,中国,中南,上梅,湖南,标准级,"2,865",659,0%,3
